time,latitude,longitude
1701650687.995321,nan,nan
1701650688.002845,nan,nan
1701650688.004306,nan,nan
1701650688.0058799,nan,nan
1701650688.007233,nan,nan
1701650688.008803,nan,nan
1701650688.0090134,nan,nan
1701650688.0112417,nan,nan
1701650688.0142112,nan,nan
1701650688.0177293,nan,nan
1701650688.01974,nan,nan
1701650688.023015,nan,nan
1701650688.0247102,nan,nan
1701650688.0261078,nan,nan
1701650688.0275066,nan,nan
1701650688.0288997,nan,nan
1701650688.035874,nan,nan
1701650688.037263,nan,nan
1701650688.0427337,nan,nan
1701650688.0427363,nan,nan
1701650688.0456245,nan,nan
1701650688.045628,nan,nan
1701650688.0456293,nan,nan
1701650688.0480654,nan,nan
1701650688.0480669,nan,nan
1701650688.0509117,nan,nan
1701650688.0564334,nan,nan
1701650688.0579064,nan,nan
1701650688.0603917,nan,nan
1701650688.0658274,nan,nan
1701650688.0671515,nan,nan
1701650688.0703118,nan,nan
1701650688.0703132,nan,nan
1701650688.0714083,nan,nan
1701650688.072366,nan,nan
1701650688.073323,nan,nan
1701650688.0744019,nan,nan
1701650688.0758793,nan,nan
1701650688.0819573,nan,nan
1701650688.0831537,nan,nan
1701650688.0856128,nan,nan
1701650688.0901918,nan,nan
1701650688.0915856,nan,nan
1701650688.092924,nan,nan
1701650688.0952227,nan,nan
1701650688.09725,nan,nan
1701650688.0982842,nan,nan
1701650688.1022222,nan,nan
1701650688.1033401,nan,nan
1701650688.104386,nan,nan
1701650688.1096976,nan,nan
1701650688.1107175,nan,nan
1701650688.1119351,nan,nan
1701650688.1129994,nan,nan
1701650688.1158035,nan,nan
1701650688.1158054,nan,nan
1701650688.1175702,nan,nan
1701650688.1195915,nan,nan
1701650688.1209598,nan,nan
1701650688.1223137,nan,nan
1701650688.1238492,nan,nan
1701650688.1253102,nan,nan
1701650688.1406856,nan,nan
1701650688.1406872,nan,nan
1701650688.1406903,nan,nan
1701650688.140693,nan,nan
1701650688.1406963,nan,nan
1701650688.1406977,nan,nan
1701650688.1407003,nan,nan
1701650688.151,nan,nan
1701650688.1540184,nan,nan
1701650688.1555429,nan,nan
1701650688.156985,nan,nan
1701650688.160304,nan,nan
1701650688.162006,nan,nan
1701650688.1638625,nan,nan
1701650688.1672027,nan,nan
1701650688.1682866,nan,nan
1701650688.170532,nan,nan
1701650688.1713665,nan,nan
1701650688.1727762,nan,nan
1701650688.1736486,nan,nan
1701650688.17446,nan,nan
1701650688.179873,nan,nan
1701650688.181223,nan,nan
1701650688.1830769,nan,nan
1701650688.184343,nan,nan
1701650688.1855433,nan,nan
1701650688.1865838,nan,nan
1701650688.1932778,nan,nan
1701650688.1940908,nan,nan
1701650688.1963146,nan,nan
1701650688.20309,nan,nan
1701650688.2044587,nan,nan
1701650688.209945,nan,nan
1701650688.211185,nan,nan
1701650688.2123778,nan,nan
1701650688.213626,nan,nan
1701650688.2156246,nan,nan
1701650688.2173338,nan,nan
1701650688.2188787,nan,nan
1701650688.2243407,nan,nan
1701650688.2260983,nan,nan
1701650688.227606,nan,nan
1701650688.2290206,nan,nan
1701650688.2305245,nan,nan
1701650688.2314,nan,nan
1701650688.234897,nan,nan
1701650688.236267,nan,nan
1701650688.2368162,nan,nan
1701650688.2383072,nan,nan
1701650688.239151,nan,nan
1701650688.2406616,nan,nan
1701650688.241713,nan,nan
1701650688.2426677,nan,nan
1701650688.2461457,nan,nan
1701650688.2474046,nan,nan
1701650688.2492094,nan,nan
1701650688.251515,nan,nan
1701650688.2528315,nan,nan
1701650688.2581697,nan,nan
1701650688.2590594,nan,nan
1701650688.2628272,nan,nan
1701650688.2682014,nan,nan
